NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"900,017,165",MAXIALIMENTOS LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1011,MANUFACTURA,0.15,0.0,0.03,0.02,0.01,"2,022",Procesamiento y conservación de carne y productos cárnicos
"817,000,707",PROCESADORA Y DISTRIBUIDORA DE PAPELES SA S ZONA FRANCA SOCIEDAD POR ACCIONES SIMPLIFICADA,SUPERSOCIEDADES,Costa Pacífica,CAUCA,GUACHENÉ-CAUCA,1709,MANUFACTURA,0.15,0.02,0.14,0.1,0.04,"2,022",Fabricación de otros artículos de papel y cartón
"890,900,121",ELECTRO PORCELANA GAMMA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,2393,MANUFACTURA,0.15,0.02,0.13,0.06,0.07,"2,022","Fabricación de otros productos de arcilla y cerámica n.c.p., para uso estructural"
"830,014,825",PAPELES PRIMAVERA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1811,MANUFACTURA,0.15,0.01,0.13,0.08,0.04,"2,022",Actividades de impresión
"830,007,240",ALPLA COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,2229,MANUFACTURA,0.15,-0.01,0.18,0.15,0.03,"2,022",Fabricación de otros productos de plástico n.c.p.
"890,805,453",TECNOLOGIA EN CUBRIMIENTO SA,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,2395,MANUFACTURA,0.15,0.01,0.08,0.03,0.05,"2,022","Fabricación de artículos de hormigón, cemento y yeso"
"900,297,009",FRESENIUS MEDICAL CARE ANDINA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,2100,MANUFACTURA,0.15,0.0,0.31,0.12,0.2,"2,022","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
"900,314,026",ACEITES CIMARRONES SAS ZONA FRANCA PERMANENTE ESPECIAL AGROINDUSTRIAL,SUPERSOCIEDADES,Otros,META,VILLAVICENCIO-META,1031,MANUFACTURA,0.15,0.01,0.06,0.03,0.03,"2,022",Elaboración de alimentos y piensos compuestos
"900,562,939",INVERCAFE CERRITOS SAS,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,1061,MANUFACTURA,0.15,0.0,0.02,0.02,0.0,"2,022",Trilla de café
"900,327,961",EXTRACTORA SICARARE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1031,MANUFACTURA,0.15,0.01,0.1,0.06,0.04,"2,022",Elaboración de alimentos y piensos compuestos
"890,101,692",GELCO SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,2029,MANUFACTURA,0.15,0.02,0.18,0.1,0.08,"2,022",Fabricación de otros productos químicos n.c.p.
"860,033,419",FAMOC DEPANEL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,MOSQUERA -CUNDINAMARCA,3110,MANUFACTURA,0.15,0.01,0.11,0.07,0.04,"2,022",Fabricación de muebles
"900,444,531",IINTEGRAL DE EMPAQUES SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,2229,MANUFACTURA,0.15,0.01,0.15,0.1,0.05,"2,022",Fabricación de otros productos de plástico n.c.p.
"830,099,238",CEMENTOS TEQUENDAMA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2394,MANUFACTURA,0.15,-0.04,0.51,0.23,0.28,"2,022","Fabricación de cemento, cal y yeso"
"830,046,757",COMPAÑIA INTERNACIONAL DE ALIMENTOS AGROPECUARIOS CIALTA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1011,MANUFACTURA,0.15,0.0,0.09,0.04,0.05,"2,022",Procesamiento y conservación de carne y productos cárnicos
"900,581,703",NEOSTAR SEGURIDAD DE COLOMBIA LTDA,SUPERVIGILANCIA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2920,MANUFACTURA,0.14,0.02,0.13,0.06,0.07,"2,022",Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques
"860,038,955",HOGIER GARTNER Y CIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1811,MANUFACTURA,0.14,0.03,0.13,0.06,0.07,"2,022",Actividades de impresión
"860,049,313",FILMTEX SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2221,MANUFACTURA,0.14,0.0,0.12,0.07,0.04,"2,022",Fabricación de formas básicas de plástico
"860,029,022",ROPSOHN THERAPEUTICS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2100,MANUFACTURA,0.14,0.05,0.25,0.04,0.21,"2,022","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
"900,447,906",KINGSPAN PANELES AISLADOS SAS,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,2511,MANUFACTURA,0.14,0.01,0.09,0.05,0.03,"2,022",Fabricación de productos metálicos para uso estructural
"900,250,415",QUIMTIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,2011,MANUFACTURA,0.14,0.01,0.07,0.04,0.03,"2,022",Fabricación de sustancias y productos químicos básicos
"860,010,192",PRODUCTORA DE GELATINA SAS,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,2029,MANUFACTURA,0.14,0.03,0.15,0.08,0.07,"2,022",Fabricación de otros productos químicos n.c.p.
"800,184,269",EMPRESA COLOMBIANA DE SOPLADO E INYECCION ECSI SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2229,MANUFACTURA,0.14,0.0,0.12,0.06,0.06,"2,022",Fabricación de otros productos de plástico n.c.p.
"900,406,158",EMPAQUES INDUSTRIALES DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1702,MANUFACTURA,0.14,0.01,0.14,0.09,0.05,"2,022","Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón"
"900,718,257",CORRUMED SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,LA-ESTRELLA -ANTIOQUIA,1702,MANUFACTURA,0.14,0.01,0.08,0.04,0.04,"2,022","Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón"
"800,203,984",SIMONIZ SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2029,MANUFACTURA,0.14,-0.0,0.12,0.08,0.04,"2,022",Fabricación de otros productos químicos n.c.p.
"830,075,074",AGROPECUARIA SANTAMARIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1031,MANUFACTURA,0.14,0.03,0.12,0.05,0.07,"2,022",Elaboración de alimentos y piensos compuestos
"830,041,598",SAINT GOBAIN COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,MOSQUERA -CUNDINAMARCA,3290,MANUFACTURA,0.14,0.05,0.44,0.02,0.42,"2,022",Otras industrias manufactureras n.c.p.
"824,006,708",PALMAGRO S A,SUPERSOCIEDADES,Costa Atlántica,CESAR,VALLEDUPAR-CESAR,1031,MANUFACTURA,0.14,0.01,0.04,0.02,0.02,"2,022",Elaboración de alimentos y piensos compuestos
"800,078,508",SOCIEDAD DE COMERCIALIZACION INTERNACIONAL FABRICACION DE ACEITES Y MARGARINAS DEL MAGDALENA SA,SUPERSOCIEDADES,Costa Atlántica,MAGDALENA,CIENAGA-MAGDALENA,1032,MANUFACTURA,0.14,0.01,0.05,0.03,0.03,"2,022","Elaboración de jugos de frutas, legumbres y hortalizas"
"890,301,868",ROY ALPHA SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,2740,MANUFACTURA,0.14,0.01,0.1,0.06,0.04,"2,022",Fabricación de equipos eléctricos de iluminación
"900,149,460",GYPLAC SA,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,2395,MANUFACTURA,0.14,0.01,0.13,0.03,0.1,"2,022","Fabricación de artículos de hormigón, cemento y yeso"
