NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"860,516,431",GRAN TIERRA ENERGY COLOMBIA LLC SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,1.32,0.14,2.27,0.71,1.56,"2,024",Extracción de petróleo crudo
"860,032,463",PERENCO COLOMBIA LIMITED,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,1.31,0.34,1.18,0.73,0.44,"2,024",Extracción de petróleo crudo
"900,268,747",PAREX RESOURCES (COLOMBIA) AG SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,1.27,-1.02,11.25,9.1,2.16,"2,024",Extracción de petróleo crudo
"860,051,812",HALLIBURTON LATIN AMERICA SRL SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,1.18,-0.05,0.73,0.2,0.53,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,196,778",ONGC VIDESH LIMITED SUCURSAL COLOMBIANA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,1.18,0.44,1.02,0.71,0.31,"2,024",Extracción de petróleo crudo
"900,335,237",GRAN TIERRA COLOMBIA INC SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,1.07,0.09,1.81,0.58,1.23,"2,024",Extracción de petróleo crudo
"800,206,842",BAKER HUGHES DE COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,1.05,-0.04,0.85,0.23,0.63,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"830,037,774",DRUMMOND COAL MINING LLC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0510,MINERO,1.03,0.22,0.95,0.15,0.8,"2,024",Extracción de hulla (carbón de piedra)
"860,002,175",SCHLUMBERGER SURENCO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.94,-0.19,1.09,0.26,0.83,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,235,088",TECPETROL COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,0.91,0.05,0.9,0.37,0.53,"2,024",Extracción de petróleo crudo
"901,218,630",MINEROS ALUVIAL SAS BIC,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0722,MINERO,0.84,0.13,0.91,0.35,0.55,"2,024",Extracción de minerales de metales preciosos
"900,713,658",CNE OIL & GAS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0620,MINERO,0.79,0.16,2.4,1.26,1.14,"2,024",Extracción de gas natural
"891,102,723",MECANICOS ASOCIADOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.78,0.01,0.53,0.31,0.22,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,276,770",CNEOG COLOMBIA SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0620,MINERO,0.69,-0.02,4.11,0.51,3.61,"2,024",Extracción de gas natural
"830,083,619",REPSOL COLOMBIA OIL & GAS LIMITED,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,0.61,-0.08,1.76,0.43,1.33,"2,024",Extracción de petróleo crudo
"830,069,311",NABORS DRILLING INTERNATIONAL LTD BERMUDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.57,0.02,0.64,0.14,0.49,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"800,230,209",WEATHERFORD COLOMBIA LIMITED,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.51,0.04,0.4,0.2,0.19,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"800,187,974",COLOMBIA ENERGY DEVELOPMENT CO,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,0.46,0.03,1.14,0.34,0.8,"2,024",Extracción de petróleo crudo
"800,249,313",MANSAROVAR ENERGY COLOMBIA LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,0.46,0.05,0.6,0.62,-0.02,"2,024",Extracción de petróleo crudo
"890,914,525",MINEROS SA,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0722,MINERO,0.45,0.35,1.91,0.11,1.8,"2,024",Extracción de minerales de metales preciosos
"900,377,085",OPERACION Y MANTENIMIENTO INTEGRAL DE ACTIVOS COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.39,0.01,0.19,0.17,0.02,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"890,110,188",INDEPENDENCE DRILLING SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.38,-0.06,0.65,0.48,0.16,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,217,771",ANTIOQUIA GOLD LTD,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0722,MINERO,0.36,0.02,0.49,0.17,0.32,"2,024",Extracción de minerales de metales preciosos
"830,116,134",PETROWORKS SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,0910,MINERO,0.35,-0.01,0.37,0.29,0.08,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,149,606",EXCAVACIONES Y PROYECTOS DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0990,MINERO,0.34,0.05,0.25,0.04,0.21,"2,024",Actividades de apoyo a otras actividades de extracción
"900,268,901",CNRIII LTDSUCURSAL COLOMBIA EN REORGANIZACION,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0510,MINERO,0.34,0.0,0.87,0.86,0.01,"2,024",Extracción de hulla (carbón de piedra)
"830,080,672",CEPSA COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,0.32,0.1,3.18,0.15,3.03,"2,024",Extracción de petróleo crudo
"830,090,773",MASSY ENERGY COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.3,0.0,0.17,0.09,0.08,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,067,887",PETROLEOS COLOMBIANOS SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,0.29,0.1,0.41,0.21,0.2,"2,024",Extracción de petróleo crudo
"900,333,530",CI COLOMBIAN NATURAL RESOURCES I SASEN REORGANIZACION,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0510,MINERO,0.29,0.03,0.74,0.43,0.31,"2,024",Extracción de hulla (carbón de piedra)
"901,209,571",SAMARIA LLANOS EXPLORATION SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,0.29,0.05,0.21,0.13,0.08,"2,024",Extracción de petróleo crudo
"802,022,622",CI FRONTIER NEXT SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,0510,MINERO,0.29,0.01,0.16,0.09,0.07,"2,024",Extracción de hulla (carbón de piedra)
"830,095,262",QMAX SOLUTIONS COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.29,0.01,0.16,0.07,0.09,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"901,684,076",INTERNATIONAL ENERGY SERVICES SOUTH AMERICA CO LTD SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.28,0.03,0.33,0.07,0.26,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"811,000,761",MINERA EL ROBLE SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0729,MINERO,0.28,0.02,0.24,0.18,0.06,"2,024",Extracción de otros minerales metalíferos no ferrosos n.c.p. (excepto níquel)
"900,276,317",OPERADORA MINERA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0722,MINERO,0.27,0.03,0.19,0.07,0.12,"2,024",Extracción de minerales de metales preciosos
"900,720,625",TOP DRILLING COMPANY SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.25,0.02,0.27,0.1,0.17,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"890,114,642",ARIS MINING MARMATO SAS,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,0722,MINERO,0.23,-0.03,1.04,0.11,0.94,"2,024",Extracción de minerales de metales preciosos
"802,021,888",PROMISOL SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,0910,MINERO,0.22,0.01,0.43,0.34,0.09,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"860,514,604",ERAZO VALENCIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA-CUNDINAMARCA,0910,MINERO,0.22,0.05,0.23,0.04,0.19,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,089,005",AMERISUR EXPLORACION COLOMBIA LIMITADA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,0.21,0.03,0.51,0.1,0.41,"2,024",Extracción de petróleo crudo
