NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"830,137,636",RASCHELTEX INTERNATIONAL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1311,MANUFACTURA,0.03,0.0,0.02,0.02,0.0,"2,021",Preparación e hilatura de fibras textiles
"900,169,541",COMERCIALIZADORA LA POSADA SAS,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,LA VIRGINIA-RISARALDA,4711,COMERCIO,0.03,0.0,0.01,0.0,0.0,"2,021","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"830,137,141",OVALL COSMETICS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4690,COMERCIO,0.03,0.0,0.01,0.01,0.0,"2,021",Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
"890,925,336",CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES SA,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8610,SERVICIOS,0.03,0.0,0.03,0.03,0.0,"2,021","Actividades de hospitales y clínicas, con internación"
"900,422,154",RENTING TOTAL SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,7710,SERVICIOS,0.03,0.0,0.08,0.06,0.02,"2,021",Alquiler y arrendamiento de vehículos automotores
"832,010,436",HOSPITAL MARIA AUXILIADORA EMPRESA SOCIAL DEL ESTADO DEL MUNICIPIO DE MOSQUERA,SUPERSALUD,Bogotá - Cundinamarca,CUNDINAMARCA,MOSQUERA -CUNDINAMARCA,8610,SERVICIOS,0.03,0.01,0.06,0.0,0.05,"2,021","Actividades de hospitales y clínicas, con internación"
"900,484,033",TUPERSA SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,4663,COMERCIO,0.03,0.0,0.01,0.01,0.0,"2,021","Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
"900,724,712",RYMCO MEDICAL SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,3250,MANUFACTURA,0.03,-0.01,0.11,0.07,0.03,"2,021","Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)"
"800,025,379",LADRILLERA LA CLAY SAS,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,2392,MANUFACTURA,0.03,0.0,0.03,0.01,0.02,"2,021",Fabricación de materiales de arcilla para la construcción
"900,482,169",DISTRIBUIDORA SURTIGRANOS DE NARIÑO SAS,SUPERSOCIEDADES,Costa Pacífica,NARIÑO,IPIALES-NARIÑO,4690,COMERCIO,0.03,0.0,0.01,0.01,0.0,"2,021",Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
"900,928,512",IKONSTRUIR SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C-BOGOTA D.C.,4111,CONSTRUCCIÓN,0.03,0.0,0.09,0.08,0.01,"2,021",Construcción de edificios residenciales
"900,768,978",ROSDEL SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,0113,COMERCIO,0.03,0.0,0.0,0.0,0.0,"2,021","Cultivo de hortalizas, raíces y tubérculos"
"800,165,994",DISTRIBUCIONES VETERINARIAS SA,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,4645,COMERCIO,0.03,0.0,0.01,0.01,0.0,"2,021","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
"890,308,587",FERRETERIA BARBOSA SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4663,COMERCIO,0.03,0.0,0.03,0.01,0.02,"2,021","Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
"800,006,785",PEREA Y CIA SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,4312,CONSTRUCCIÓN,0.03,0.0,0.03,0.01,0.02,"2,021",Preparación del terreno
